ESTACION,ANNO,avg(VEL)
estacion1,5.0,3.3451502263684962
estacion1,6.0,3.3697993754545075
estacion1,7.0,3.5963472619575434
estacion1,8.0,3.398824975040326
estacion1,9.0,3.66482712188342
estacion1,10.0,3.161873801110522
estacion1,11.0,3.1365808236671544
estacion1,12.0,3.4450454680241487
estacion1,13.0,3.538342011064097
estacion1,14.0,3.45578921078922
estacion1,15.0,3.7779808899145197
estacion1,16.0,3.330220994475063
estacion1,17.0,3.2011493797313175
estacion2,14.0,1.1526877158959994
estacion2,15.0,1.1472614622057096
estacion2,16.0,1.0571862146080437
estacion2,17.0,1.012212073073861
estacion3,5.0,1.395973665596624
estacion3,6.0,1.5161108879067902
estacion3,12.0,1.323717167931546
estacion3,13.0,1.3370774140706831
estacion3,14.0,1.234715356938711
estacion3,15.0,1.2371894975321962
estacion3,16.0,1.3308187457512164
estacion3,17.0,1.3617791160559294
estacion4,6.0,3.2187048098082416
estacion4,7.0,3.342500565995052
estacion4,8.0,2.7997005647576354
estacion4,9.0,4.0060349431601825
estacion4,10.0,3.3342226040560274
estacion4,11.0,3.3481436157426483
estacion4,12.0,3.5119379595773053
estacion4,13.0,3.6539933159089824
estacion4,14.0,3.6206199252195823
estacion4,15.0,4.02149037061687
estacion4,16.0,3.5266900456312436
estacion4,17.0,3.0022155346858392
